Date,Date Processed,Description,Amount,Foreign Spend Amount,Commission,Exchange Rate,Additional Information,Merchant,Address,City / Province,Postal Code,Country,Reference
07 Oct 2025,07 Oct 2025,MEMBERSHIP FEE INSTALLMENT,12.99,,,,,MEMBERSHIP FEE INSTALLMENT,,,,,'10000000011107999876340'
06 Oct 2025,07 Oct 2025,GOOGLE *CHATGPT         G.CO/HELPPAY#,30.50,,,,,GOOGLE *CHATGPT         G.CO/HELPPAY#,"SUITE 900
1959 UPPER WATER STREET","HALIFAX
NS",B3J 3N2,CANADA,'AT252800006000010610820'
06 Oct 2025,07 Oct 2025,LLYK AUTOMATED PERMIT M LAKE LOUISE,36.75,,,,,LLYK AUTOMATED PERMIT M LAKE LOUISE,BOX 213 LAKE LOUISE,"LAKE LOUISE
AB",T0L 1E0,CANADA,'AT252800006000010596731'
06 Oct 2025,07 Oct 2025,ROCKY MOUNTAIN CHOCOLAT BANFF,12.60,,,,,ROCKY MOUNTAIN CHOCOLAT BANFF,117B BANFF AVE,"BANFF
AB",T1L 1C1,CANADA,'AT252800006000010597154'
05 Oct 2025,06 Oct 2025,STARBUCKS 62741 STARBUC BANFF,15.28,,,,,STARBUCKS 62741 STARBUC BANFF,100 GOPHER ST,"BANFF
AB",T1L 1J3,CANADA,'AT252790006000010644501'
04 Oct 2025,05 Oct 2025,FRESHII - 400 CONNAUGHT JASPER,10.49,,,,,FRESHII - 400 CONNAUGHT JASPER,"400 CONNAUGHT DR
UNIT 1","JASPER
AB",T0E 1E0,CANADA,'AT252780006000010762596'
04 Oct 2025,05 Oct 2025,HOTSPOT PARKING 2122841 FREDERICTON,3.50,,,,,HOTSPOT PARKING 2122841 FREDERICTON,515 BEAVERBROOK CRT,"FREDERICTON
NB",E3B 1X6,CANADA,'AT252780006000010718334'
04 Oct 2025,05 Oct 2025,JASPER N.P.WEST GATE    JASPER,151.25,,,,,JASPER N.P.WEST GATE    JASPER,607 CONNAUGHT DR,"JASPER
AB",T0E 1E0,CANADA,'AT252780006000010755115'
04 Oct 2025,04 Oct 2025,VIATOR *IT-1705865017   LONDON,255.96,,,,,VIATOR *IT-1705865017   LONDON,7 SOHO SQUARE,LONDON,W1D 3QB,UNITED KINGDOM OF GB AND NI,'AT252770006000010693016'
03 Oct 2025,04 Oct 2025,BELL CANADA (OB)        MONTREAL,201.08,,,,,BELL CANADA (OB)        MONTREAL,"600 RUE JEAN TALON
EAST 9057","MONTREAL
QC",H2R 3A8,CANADA,'AT252770006000010729574'
